No,KODE SKPD,SKPD,ANGGARAN,SP2D GAJI,SP2D LS,RINCIAN GU/TU,KOREKSI,REALISASI,PROSENTASE,SISA KREDIT,PERSEN SISA,Tanggal Impor Data
1,101000000010001,SMK Negeri 1 Surabaya (BLUD),1724320775,0.0,0.0,124607361.0,0.0,124607361,7.23,1599713414,92.7735,24/02/2026
2,101000000010002,SMK Negeri 5 Surabaya (BLUD),311500000,0.0,0.0,12481400.0,0.0,12481400,4.01,299018600,95.9931,24/02/2026
3,101000000010003,SMK Negeri 6 Surabaya (BLUD),392830700,0.0,0.0,0.0,0.0,0,0.0,392830700,100.0,24/02/2026
4,101000000010004,SMK Negeri 1 Buduran Sidoarjo (BLUD),1450260240,0.0,0.0,104982173.0,0.0,104982173,7.24,1345278067,92.7611,24/02/2026
5,101000000010005,SMK Negeri 3 Buduran Sidoarjo (BLUD),472530706,0.0,0.0,0.0,0.0,0,0.0,472530706,100.0,24/02/2026
6,101000000010006,SMK Negeri 2 Malang (BLUD),764000000,0.0,0.0,43319110.0,0.0,43319110,5.67,720680890,94.3299,24/02/2026
7,101000000010007,SMK Negeri 4 Malang (BLUD),1245800000,0.0,0.0,100950834.0,0.0,100950834,8.1,1144849166,91.8967,24/02/2026
8,101000000010008,SMK Negeri 11 Malang (BLUD),337400000,0.0,0.0,29052300.0,0.0,29052300,8.61,308347700,91.3893,24/02/2026
9,101000000010009,SMK Negeri 1 Singosari Malang (BLUD),212000000,0.0,0.0,14320000.0,0.0,14320000,6.75,197680000,93.2452,24/02/2026
10,101000000010010,SMK Negeri 1 Panji Situbondo (BLUD),1209500000,0.0,0.0,61500000.0,0.0,61500000,5.08,1148000000,94.9152,24/02/2026
11,101000000010011,SMK Negeri 1 Kalipuro Banyuwangi (BLUD),197900000,0.0,0.0,0.0,0.0,0,0.0,197900000,100.0,24/02/2026
12,101000000010012,SMK Negeri 2 Bondowoso (BLUD),322525500,0.0,0.0,8417000.0,0.0,8417000,2.61,314108500,97.3902,24/02/2026
13,101000000010013,SMK Negeri 5 Jember (BLUD),638800000,0.0,0.0,48448400.0,0.0,48448400,7.58,590351600,92.4157,24/02/2026
14,101000000010014,SMK Negeri 3 Madiun (BLUD),299441200,0.0,0.0,43684000.0,0.0,43684000,14.59,255757200,85.4114,24/02/2026
15,101000000010015,SMK Negeri 1 Pacitan (BLUD),90000000,0.0,0.0,8100800.0,0.0,8100800,9.0,81899200,90.9991,24/02/2026
16,101000000010016,SMK Negeri 2 Kota Pasuruan (BLUD),139790000,0.0,0.0,11406149.0,0.0,11406149,8.16,128383851,91.8405,24/02/2026
17,101000000010017,SMK Negeri 3 Boyolangu Tulungagung (BLUD),147357870,0.0,0.0,0.0,0.0,0,0.0,147357870,100.0,24/02/2026
18,101000000010018,SMK Negeri 1 Glagah Banyuwangi (BLUD),415500000,0.0,0.0,0.0,0.0,0,0.0,415500000,100.0,24/02/2026
19,101000000010019,SMK Negeri 1 Tegalampel Bondowoso (BLUD),106925000,0.0,0.0,8950000.0,0.0,8950000,8.37,97975000,91.6296,24/02/2026
20,101000000010020,SMK Negeri 1 Jenangan Ponorogo (BLUD),230000000,0.0,0.0,18998500.0,0.0,18998500,8.26,211001500,91.7397,24/02/2026
21,101000000010047,SMK Negeri 2 Nganjuk (BLUD),190047636,0.0,0.0,2892400.0,0.0,2892400,1.52,187155236,98.478,24/02/2026
22,101000000010048,SMK Negeri 1 Banyuwangi (BLUD),802201424,0.0,0.0,85233698.0,0.0,85233698,10.62,716967726,89.375,24/02/2026
23,101000000010049,SMK Negeri 1 Lumajang (BLUD),322000000,0.0,0.0,0.0,0.0,0,0.0,322000000,100.0,24/02/2026
24,101000000010050,SMK Negeri Kalibaru Banyuwangi (BLUD),1322966300,0.0,0.0,0.0,0.0,0,0.0,1322966300,100.0,24/02/2026
25,101000000010051,SMK Negeri 6 Jember (BLUD),297740400,0.0,0.0,0.0,0.0,0,0.0,297740400,100.0,24/02/2026
26,101000000010052,SMK Negeri Darul Ulum Banyuwangi (BLUD),566074169,0.0,0.0,0.0,0.0,0,0.0,566074169,100.0,24/02/2026
27,101000000010053,SMK Negeri 1 Pasuruan (BLUD),867350651,0.0,0.0,15044875.0,0.0,15044875,1.73,852305776,98.2654,24/02/2026
28,101000000010054,SMK Negeri 2 Tuban (BLUD),673000000,0.0,0.0,32321622.0,0.0,32321622,4.8,640678378,95.1973,24/02/2026
29,101000000010055,SMK Negeri 1 Grati Pasuruan (BLUD),379500000,0.0,0.0,40689254.0,0.0,40689254,10.72,338810746,89.2781,24/02/2026
30,101000000010056,SMK Negeri 1 Pungging Mojokerto (BLUD),471751074,0.0,0.0,11161500.0,0.0,11161500,2.37,460589574,97.634,24/02/2026
31,101000000010057,SMK Negeri 10 Surabaya (BLUD),1476236361,0.0,0.0,65520720.0,0.0,65520720,4.44,1410715641,95.5616,24/02/2026
32,101000000010058,SMK Negeri 2 Batu (BLUD),239838960,0.0,0.0,7932500.0,0.0,7932500,3.31,231906460,96.6925,24/02/2026
33,101000000010059,SMK Negeri 2 Jiwan Madiun (BLUD),361500000,0.0,0.0,6050000.0,0.0,6050000,1.67,355450000,98.3264,24/02/2026
34,101000000010060,SMK Negeri 2 Probolinggo (BLUD),820470324,0.0,0.0,7618679.0,0.0,7618679,0.93,812851645,99.0714,24/02/2026
35,101000000010061,SMK Negeri 7 Surabaya (BLUD),248763000,0.0,0.0,0.0,0.0,0,0.0,248763000,100.0,24/02/2026
36,101000000010062,SMK Negeri 1 Bendo Magetan (BLUD),122657200,0.0,0.0,8200000.0,0.0,8200000,6.69,114457200,93.3147,24/02/2026
37,101000000010063,SMK Negeri 1 Nganjuk (BLUD),241598000,0.0,0.0,1998000.0,0.0,1998000,0.83,239600000,99.173,24/02/2026
38,101000000010064,SMK Negeri 1 Gempol Pasuruan (BLUD),42123140,0.0,0.0,0.0,0.0,0,0.0,42123140,100.0,24/02/2026
39,101000000010065,SMK Negeri Rengel Tuban (BLUD),227712750,0.0,0.0,0.0,0.0,0,0.0,227712750,100.0,24/02/2026
40,101000000010066,SMK Negeri 1 Turen Malang (BLUD),888459000,0.0,0.0,0.0,0.0,0,0.0,888459000,100.0,24/02/2026
41,101000000010067,SMK Negeri 3 Kota Malang (BLUD),968000000,0.0,0.0,0.0,0.0,0,0.0,968000000,100.0,24/02/2026
42,101000000010068,SMK Negeri 2 Singosari Malang (BLUD),200880000,0.0,0.0,0.0,0.0,0,0.0,200880000,100.0,24/02/2026
43,101000000010069,SMK Negeri 1 Kademangan Blitar (BLUD),408990450,0.0,0.0,0.0,0.0,0,0.0,408990450,100.0,24/02/2026
44,101000000010070,SMK Negeri 2 Jember (BLUD),1026676500,0.0,0.0,0.0,0.0,0,0.0,1026676500,100.0,24/02/2026
45,102000000010001,Rumah Sakit Umum Daerah dr. Soetomo (BLUD),1380000000000,0.0,82198316892.0,4026966521.0,0.0,86225283413,6.25,1293774716587,93.7517,24/02/2026
46,102000000010002,Rumah Sakit Umum Daerah dr. Saiful Anwar (BLUD),910532300000,0.0,25242769903.0,32567071387.0,0.0,57809841290,6.35,852722458710,93.6509,24/02/2026
47,102000000010003,Rumah Sakit Umum Daerah dr. Soedono Madiun (BLUD),245748000000,0.0,12619059272.0,1453548264.0,0.0,14072607536,5.73,231675392464,94.2735,24/02/2026
48,102000000010004,Rumah Sakit Umum Daerah Haji Provinsi Jawa Timur (BLUD),225000000000,0.0,8052194024.0,3059259648.0,0.0,11111453672,4.94,213888546328,95.0615,24/02/2026
49,102000000010005,Rumah Sakit Jiwa Menur (BLUD),79000000000,0.0,5510118.0,2821141597.0,0.0,2826651715,3.58,76173348285,96.4219,24/02/2026
50,102000000010006,Rumah Sakit Umum Daerah Karsa Husada Batu (BLUD),137000000000,0.0,12474498692.0,1836409014.0,0.0,14310907706,10.45,122689092294,89.554,24/02/2026
51,102000000010007,Rumah Sakit Paru Jember (BLUD),47600000000,0.0,1912066560.0,766462912.0,0.0,2678529472,5.63,44921470528,94.3728,24/02/2026
52,102000000010008,Rumah Sakit Umum Daerah Dungus (BLUD),27500000000,0.0,800634109.0,791321740.0,0.0,1591955849,5.79,25908044151,94.211,24/02/2026
53,102000000010009,Rumah Sakit Umum Daerah Daha Husada (BLUD),25135500000,0.0,0.0,403625937.0,0.0,403625937,1.61,24731874063,98.3941,24/02/2026
54,102000000010010,Rumah Sakit Umum Daerah Sumberglagah (BLUD),67897829000,0.0,587061872.0,157224245.0,0.0,744286117,1.1,67153542883,98.9038,24/02/2026
55,102000000010011,Rumah Sakit Mata Masyarakat Jawa Timur (BLUD),67000000000,0.0,1965793014.0,261214366.0,0.0,2227007380,3.32,64772992620,96.6761,24/02/2026
56,102000000010012,Rumah Sakit Umum Daerah Husada Prima (BLUD),52000000000,0.0,1016161261.0,514000292.0,0.0,1530161553,2.94,50469838447,97.0573,24/02/2026
57,102000000010013,Rumah Sakit Umum Daerah Mohammad Noer Pamekasan (BLUD),75385000000,0.0,0.0,579688201.0,0.0,579688201,0.77,74805311799,99.231,24/02/2026
58,102000000010014,Rumah Sakit Paru Manguharjo Provinsi Jawa Timur (BLUD),13661449385,0.0,0.0,644808681.0,0.0,644808681,4.72,13016640704,95.28,24/02/2026
59,102000000010015,UPT Pelatihan Kesehatan Masyarakat Murnajati (BLUD),27000000000,0.0,0.0,69653931.0,0.0,69653931,0.26,26930346069,99.742,24/02/2026
60,209327000020001,UPT Pengembangan Benih Padi dan Palawija (BLUD),12325500000,0.0,0.0,791107195.0,0.0,791107195,6.42,11534392805,93.5815,24/02/2026
61,209327000020002,UPT Pengembangan Benih Hortikultura (BLUD),761500000,0.0,0.0,15792926.0,0.0,15792926,2.07,745707074,97.926,24/02/2026
62,209327000020003,UPT Pengembangan Agribisnis Tanaman Pangan dan Hortikultura (BLUD),1288000000,0.0,0.0,0.0,0.0,0,0.0,1288000000,100.0,24/02/2026
63,325000000010001,UPT Pelabuhan Perikanan Pantai Mayangan (BLUD),6644875000,0.0,0.0,186453000.0,0.0,186453000,2.81,6458422000,97.194,24/02/2026
64,325000000010002,UPT Pelabuhan Perikanan Pantai Tamperan (BLUD),835500000,0.0,0.0,16201649.0,0.0,16201649,1.94,819298351,98.0608,24/02/2026
65,325000000010003,UPT Pelabuhan Perikanan Pantai Pondokdadap (BLUD),1150000000,0.0,0.0,0.0,0.0,0,0.0,1150000000,100.0,24/02/2026
66,504000000010001,UPT Sertifikasi Kompetensi Sumber Daya Manusia (BLUD),1383000000,0.0,0.0,0.0,0.0,0,0.0,1383000000,100.0,24/02/2026
